seed,ctTeam,outcome,seconds,planted,fallBack,retake,shots,throws,footsteps,gunshots,reloads,plantSounds,beeps,defuseSounds,throwSounds
1,spirit,CounterTerroristsEliminated,22.85,False,False,False,22,6,335,22,0,2,0,0,6
2,spirit,CounterTerroristsEliminated,38.35,False,False,False,24,5,442,24,0,0,0,0,5
3,spirit,CounterTerroristsEliminated,23.55,False,False,False,23,5,358,23,0,0,0,0,5
4,spirit,TerroristsEliminated,35.95,False,True,False,29,4,384,29,0,0,0,0,4
5,spirit,CounterTerroristsEliminated,47.95,True,False,True,29,4,442,29,0,4,15,0,4
6,spirit,CounterTerroristsEliminated,40.05,True,True,True,29,8,314,29,0,4,21,0,8
7,spirit,CounterTerroristsEliminated,36.75,False,True,False,23,4,371,23,0,0,0,0,4
8,spirit,BombDefused,37.05,True,True,True,27,5,310,27,0,5,17,13,5
9,spirit,CounterTerroristsEliminated,24.65,False,False,False,25,4,328,25,0,2,0,0,4
10,spirit,CounterTerroristsEliminated,35.60,True,True,True,27,3,347,27,0,5,7,0,3
11,spirit,CounterTerroristsEliminated,48.60,True,False,True,25,2,425,25,0,5,14,0,2
12,spirit,CounterTerroristsEliminated,35.25,False,True,False,20,7,351,20,0,0,0,0,7
13,spirit,TerroristsEliminated,31.85,False,True,False,28,6,359,28,0,0,0,0,6
14,spirit,CounterTerroristsEliminated,41.15,False,False,False,26,6,431,26,0,0,0,0,6
15,spirit,CounterTerroristsEliminated,47.70,True,True,True,24,7,445,24,0,4,15,0,7
16,spirit,CounterTerroristsEliminated,37.25,True,True,True,29,6,339,29,0,5,16,0,6
17,spirit,CounterTerroristsEliminated,36.75,True,True,True,25,6,319,25,0,4,16,0,6
18,spirit,CounterTerroristsEliminated,41.65,False,True,False,29,6,427,29,0,0,0,0,6
19,spirit,CounterTerroristsEliminated,23.95,False,True,False,24,3,291,24,0,4,0,0,3
20,spirit,TimeExpired,115.00,False,False,False,21,6,822,21,0,0,0,0,6
21,spirit,CounterTerroristsEliminated,46.75,True,True,True,20,9,423,20,0,4,12,0,9
22,spirit,CounterTerroristsEliminated,21.70,False,True,False,21,7,270,21,0,1,0,0,7
23,spirit,CounterTerroristsEliminated,25.25,False,True,False,19,6,352,19,0,0,0,0,6
24,spirit,CounterTerroristsEliminated,46.40,True,False,True,27,6,412,27,0,5,11,0,6
25,spirit,BombDefused,62.65,True,False,True,29,8,521,29,0,4,35,16,8
26,spirit,CounterTerroristsEliminated,25.95,False,False,False,26,7,372,26,0,0,0,0,7
27,spirit,CounterTerroristsEliminated,47.25,True,False,True,20,6,398,20,0,4,15,0,6
28,spirit,BombDefused,53.50,True,True,True,25,8,407,25,0,4,35,16,8
29,spirit,CounterTerroristsEliminated,44.60,True,True,True,27,8,392,27,0,4,10,0,8
30,spirit,CounterTerroristsEliminated,51.95,False,False,False,29,5,415,29,0,0,0,0,5
1,falcons,BombDefused,51.50,True,True,True,29,7,396,29,0,5,35,13,7
2,falcons,BombDefused,46.55,True,False,True,29,7,402,29,0,4,35,14,7
3,falcons,CounterTerroristsEliminated,47.05,True,False,True,23,6,390,23,0,4,30,9,6
4,falcons,CounterTerroristsEliminated,50.05,True,False,True,20,6,524,20,0,4,17,0,6
5,falcons,CounterTerroristsEliminated,31.45,True,False,True,27,4,361,27,0,4,13,0,4
6,falcons,CounterTerroristsEliminated,27.35,False,True,False,26,6,320,26,0,0,0,0,6
7,falcons,CounterTerroristsEliminated,20.50,False,True,False,21,4,280,21,0,0,0,0,4
8,falcons,CounterTerroristsEliminated,31.70,False,True,False,26,6,344,26,0,0,0,0,6
9,falcons,BombDefused,39.00,True,True,True,25,7,350,25,0,5,18,13,7
10,falcons,BombDefused,54.00,True,True,True,24,6,372,24,0,4,17,13,6
11,falcons,CounterTerroristsEliminated,27.05,True,True,True,17,8,388,17,0,5,4,0,8
12,falcons,TerroristsEliminated,27.25,False,False,False,23,7,332,23,0,1,0,0,7
13,falcons,CounterTerroristsEliminated,23.55,False,True,False,24,6,307,24,0,0,0,0,6
14,falcons,CounterTerroristsEliminated,50.15,True,False,True,20,6,507,20,0,5,16,0,6
15,falcons,CounterTerroristsEliminated,33.20,True,False,True,20,6,426,20,0,5,16,1,6
16,falcons,CounterTerroristsEliminated,36.80,True,True,True,28,7,354,28,0,4,17,3,7
17,falcons,CounterTerroristsEliminated,36.95,True,True,True,27,5,382,27,0,4,18,0,5
18,falcons,BombDefused,60.70,True,False,True,29,6,451,29,0,4,32,13,6
19,falcons,BombDefused,49.00,True,False,True,26,6,433,26,0,5,32,25,6
20,falcons,CounterTerroristsEliminated,49.35,True,False,True,23,9,481,23,0,5,15,0,9
21,falcons,CounterTerroristsEliminated,26.30,True,True,True,18,7,384,18,0,4,3,0,7
22,falcons,BombDefused,56.50,True,True,True,28,5,399,28,0,4,18,14,5
23,falcons,CounterTerroristsEliminated,44.75,True,False,True,27,6,423,27,0,4,11,0,6
24,falcons,BombDefused,46.40,True,True,True,27,7,367,27,0,4,21,13,7
25,falcons,BombDefused,50.85,True,True,True,29,7,409,29,0,5,36,24,7
26,falcons,BombDefused,50.90,True,False,True,27,6,385,27,0,4,40,23,6
27,falcons,CounterTerroristsEliminated,45.20,True,True,True,22,3,440,22,0,4,12,0,3
28,falcons,CounterTerroristsEliminated,21.90,False,True,False,22,4,316,22,0,0,0,0,4
29,falcons,CounterTerroristsEliminated,46.45,True,True,True,26,7,451,26,0,5,11,0,7
30,falcons,CounterTerroristsEliminated,37.85,True,True,True,23,6,349,23,0,4,19,0,6
